player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent,season_avg,your_fair_line,naive_line,actual_outcome,distance_to_yours,distance_to_naive,your_line_wins,volume_tier,minutes_trend_bucket
AJ Green,4.666666666666667,4.0,0.666666666666667,BOS,home,Elite (top 10),0.347,96.59,2.9132420091324214,False,2.12,2.12,4.666666666666667,4.0,1.88,0.666666666666667,False,High (5+ 3PA/g),Minutes UP (>+2)
AJ Green,4.0,0.0,4.0,ORL,away,Bad (21-30),0.365,96.51,-0.0867579908675786,True,2.12,2.12,4.0,0.0,2.12,4.0,True,High (5+ 3PA/g),Stable (±2)
Aaron Gordon,3.333333333333333,1.0,2.333333333333333,OKC,away,Elite (top 10),0.342,100.9,3.627450980392158,False,1.47,1.47,3.333333333333333,1.0,0.47,2.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Gordon,3.0,2.0,1.0,LAL,home,Elite (top 10),0.356,98.34,-2.0392156862745097,False,1.47,1.47,3.0,2.0,0.53,1.0,True,Medium (3-5 3PA/g),Minutes DOWN (<-2)
Aaron Gordon,3.333333333333333,4.0,-0.6666666666666665,GSW,away,Mid (11-20),0.363,99.37,-2.705882352941174,True,1.47,1.47,3.333333333333333,4.0,2.5300000000000002,0.666666666666667,False,Medium (3-5 3PA/g),Minutes DOWN (<-2)
Aaron Gordon,3.6666666666666665,1.0,2.6666666666666665,POR,away,Mid (11-20),0.361,99.51,4.294117647058823,True,1.47,1.47,3.6666666666666665,1.0,0.47,2.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Gordon,3.333333333333333,1.0,2.333333333333333,HOU,away,Mid (11-20),0.357,99.03,4.627450980392158,False,1.47,1.47,3.333333333333333,1.0,0.47,2.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Nesmith,3.6666666666666665,2.0,1.6666666666666663,ATL,away,Bad (21-30),0.377,103.41,7.711111111111109,False,1.87,1.87,3.6666666666666665,2.0,0.1299999999999999,1.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Nesmith,3.333333333333333,3.0,0.3333333333333335,DAL,home,Mid (11-20),0.363,100.15,6.711111111111112,True,1.87,1.87,3.333333333333333,3.0,1.13,0.33333333333333304,False,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Nesmith,4.0,2.0,2.0,BKN,home,Mid (11-20),0.362,96.73,8.044444444444444,False,1.87,1.87,4.0,2.0,0.1299999999999999,2.0,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Nesmith,3.6666666666666665,2.0,1.6666666666666663,BKN,home,Mid (11-20),0.362,96.73,10.37777777777778,False,1.87,1.87,3.6666666666666665,2.0,0.1299999999999999,1.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Wiggins,3.333333333333333,4.0,-0.6666666666666665,NOP,home,Bad (21-30),0.365,99.77,9.013157894736842,False,1.71,1.71,3.333333333333333,4.0,2.29,0.666666666666667,False,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Wiggins,4.333333333333333,1.0,3.333333333333333,MIA,home,Mid (11-20),0.36,97.08,9.013157894736842,True,1.71,1.71,4.333333333333333,1.0,0.71,3.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Wiggins,4.333333333333333,2.0,2.333333333333333,MIN,away,Elite (top 10),0.353,97.95,7.346491228070175,False,1.71,1.71,4.333333333333333,2.0,0.29000000000000004,2.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Wiggins,3.333333333333333,2.0,1.3333333333333337,HOU,home,Mid (11-20),0.357,99.03,3.346491228070174,False,1.71,1.71,3.333333333333333,2.0,0.29000000000000004,1.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Wiggins,3.333333333333333,3.0,0.3333333333333335,MEM,away,Mid (11-20),0.36,103.69,2.0131578947368425,False,1.71,1.71,3.333333333333333,3.0,1.29,0.33333333333333304,False,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Wiggins,3.333333333333333,2.0,1.3333333333333337,POR,home,Mid (11-20),0.361,99.51,3.346491228070174,True,1.71,1.71,3.333333333333333,2.0,0.29000000000000004,1.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Aaron Wiggins,3.333333333333333,2.0,1.3333333333333337,HOU,away,Mid (11-20),0.357,99.03,4.346491228070175,False,1.71,1.71,3.333333333333333,2.0,0.29000000000000004,1.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Al Horford,3.6666666666666665,2.0,1.6666666666666663,MIN,home,Elite (top 10),0.353,97.95,2.333333333333332,True,1.9,1.9,3.6666666666666665,2.0,0.10000000000000009,1.6666666666666665,True,High (5+ 3PA/g),Minutes UP (>+2)
Al Horford,3.6666666666666665,0.0,3.6666666666666665,CHI,away,Elite (top 10),0.344,103.61,4.9999999999999964,False,1.9,1.9,3.6666666666666665,0.0,1.9,3.6666666666666665,True,High (5+ 3PA/g),Minutes UP (>+2)
Alec Burks,4.666666666666667,1.0,3.666666666666667,WAS,away,Mid (11-20),0.364,101.82,2.346938775510204,False,1.8,1.8,4.666666666666667,1.0,0.8,3.666666666666667,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Alec Burks,3.6666666666666665,4.0,-0.3333333333333335,NOP,away,Bad (21-30),0.365,99.77,4.346938775510203,False,1.8,1.8,3.6666666666666665,4.0,2.2,0.3333333333333335,False,Medium (3-5 3PA/g),Minutes UP (>+2)
Alex Caruso,2.6666666666666665,0.0,2.6666666666666665,MIA,home,Mid (11-20),0.36,97.08,2.4074074074074083,True,1.11,1.11,2.6666666666666665,0.0,1.11,2.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Alex Sarr,3.0,2.0,1.0,NYK,home,Bad (21-30),0.367,97.64,3.228855721393036,False,1.57,1.57,3.0,2.0,0.42999999999999994,1.0,True,High (5+ 3PA/g),Minutes UP (>+2)
Alex Sarr,3.0,3.0,0.0,POR,away,Mid (11-20),0.361,99.51,1.2288557213930351,False,1.57,1.57,3.0,3.0,1.43,0.0,False,High (5+ 3PA/g),Stable (±2)
Alex Sarr,3.6666666666666665,4.0,-0.3333333333333335,UTA,away,Mid (11-20),0.358,100.85,0.8955223880597032,False,1.57,1.57,3.6666666666666665,4.0,2.4299999999999997,0.3333333333333335,False,High (5+ 3PA/g),Stable (±2)
Alex Sarr,4.0,3.0,1.0,ORL,home,Bad (21-30),0.365,96.51,-1.437810945273629,False,1.57,1.57,4.0,3.0,1.43,1.0,False,High (5+ 3PA/g),Stable (±2)
Alex Sarr,3.333333333333333,0.0,3.333333333333333,NYK,away,Bad (21-30),0.367,97.64,-2.7711442786069647,True,1.57,1.57,3.333333333333333,0.0,1.57,3.333333333333333,True,High (5+ 3PA/g),Minutes DOWN (<-2)
Amir Coffey,3.0,1.0,2.0,TOR,home,Elite (top 10),0.349,100.62,2.3888888888888893,False,1.4,1.4,3.0,1.0,0.3999999999999999,2.0,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Amir Coffey,3.333333333333333,1.0,2.333333333333333,MIN,home,Elite (top 10),0.353,97.95,-2.6111111111111107,False,1.4,1.4,3.333333333333333,1.0,0.3999999999999999,2.333333333333333,True,Medium (3-5 3PA/g),Minutes DOWN (<-2)
Amir Coffey,3.0,1.0,2.0,DEN,away,Bad (21-30),0.365,100.67,-1.2777777777777786,True,1.4,1.4,3.0,1.0,0.3999999999999999,2.0,True,Medium (3-5 3PA/g),Stable (±2)
Amir Coffey,3.6666666666666665,1.0,2.6666666666666665,MIN,away,Elite (top 10),0.353,97.95,6.388888888888889,True,1.4,1.4,3.6666666666666665,1.0,0.3999999999999999,2.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Amir Coffey,3.333333333333333,0.0,3.333333333333333,DEN,away,Bad (21-30),0.365,100.67,3.722222222222221,False,1.4,1.4,3.333333333333333,0.0,1.4,3.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Amir Coffey,3.333333333333333,0.0,3.333333333333333,MEM,home,Mid (11-20),0.36,103.69,-0.2777777777777785,False,1.4,1.4,3.333333333333333,0.0,1.4,3.333333333333333,True,Medium (3-5 3PA/g),Stable (±2)
Amir Coffey,3.0,0.0,3.0,MIL,away,Elite (top 10),0.353,99.92,-1.2777777777777786,False,1.4,1.4,3.0,0.0,1.4,3.0,True,Medium (3-5 3PA/g),Stable (±2)
