player,season_avg,hot_n,hot_during,hot_next,hot_regression,cold_n,cold_during,cold_next,cold_regression,normal_n,normal_during,normal_next,normal_regression
AJ Green,2.12,2,4.33,2.0,2.33,0,,,,68,2.07,2.16,-0.09
Aaron Gordon,1.47,5,3.33,1.8,1.53,0,,,,43,1.29,1.47,-0.18
Aaron Nesmith,1.87,4,3.67,2.25,1.42,4,0.25,1.5,-1.25,34,1.89,1.97,-0.08
Aaron Wiggins,1.71,7,3.62,2.29,1.33,1,0.0,6.0,-6.0,65,1.52,1.63,-0.11
Al Horford,1.9,2,3.67,1.0,2.67,4,0.17,1.0,-0.83,51,1.93,1.96,-0.03
Alec Burks,1.8,2,4.17,2.5,1.67,1,0.0,1.0,-1.0,43,1.66,1.72,-0.06
Alex Caruso,1.11,1,2.67,0.0,2.67,1,0.0,1.0,-1.0,49,1.1,1.18,-0.08
Alex Sarr,1.57,5,3.4,2.4,1.0,0,,,,59,1.45,1.53,-0.07
Amir Coffey,1.4,7,3.24,0.57,2.67,0,,,,62,1.24,1.52,-0.28
Andrew Nembhard,0.78,3,1.67,0.67,1.0,5,0.0,0.6,-0.6,54,0.83,0.83,0.0
Andrew Wiggins,2.17,1,3.67,2.0,1.67,2,0.5,1.5,-1.0,54,2.21,2.11,0.1
Anthony Black,0.79,2,2.0,1.0,1.0,0,,,,73,0.73,0.79,-0.06
Antonio Reeves,1.16,5,3.13,1.8,1.33,0,,,,36,0.93,1.14,-0.21
Ayo Dosunmu,1.35,5,2.67,2.0,0.67,4,0.33,1.5,-1.17,34,1.37,1.32,0.05
Ben Sheppard,1.08,4,2.75,0.75,2.0,0,,,,56,0.99,1.12,-0.14
Bennedict Mathurin,1.36,5,2.93,0.4,2.53,2,0.0,2.5,-2.5,62,1.28,1.4,-0.12
Bobby Portis,1.33,1,3.0,0.0,3.0,0,,,,45,1.29,1.38,-0.09
Bogdan Bogdanović,1.94,1,3.33,0.0,3.33,1,0.33,3.0,-2.67,49,1.98,1.98,0.0
Brandin Podziemski,1.8,5,4.47,3.0,1.47,0,,,,56,1.58,1.77,-0.18
Brandon Boston,1.17,2,2.33,0.5,1.83,0,,,,37,1.11,1.24,-0.14
Brice Sensabaugh,2.21,2,4.83,4.0,0.83,7,0.1,1.43,-1.33,59,2.28,2.32,-0.04
Brook Lopez,1.74,5,3.4,1.0,2.4,2,0.33,3.0,-2.67,70,1.69,1.76,-0.07
Bruce Brown,0.66,5,2.07,1.2,0.87,0,,,,33,0.46,0.61,-0.14
Bub Carrington,1.68,6,3.89,1.83,2.06,3,0.0,1.67,-1.67,70,1.56,1.67,-0.11
Buddy Hield,2.48,2,5.33,3.5,1.83,2,0.33,2.5,-2.17,75,2.4,2.37,0.03
Caleb Martin,0.82,3,3.33,1.33,2.0,0,,,,39,0.66,0.82,-0.16
Cam Whitmore,1.27,1,3.0,2.0,1.0,0,,,,47,1.17,1.34,-0.17
Cameron Johnson,2.79,2,6.17,2.0,4.17,0,,,,52,2.76,2.87,-0.11
Cameron Payne,1.29,7,3.0,2.71,0.29,1,0.0,1.0,-1.0,61,1.11,1.13,-0.02
Caris LeVert,1.66,1,3.33,1.0,2.33,0,,,,60,1.61,1.67,-0.06
Cason Wallace,1.09,0,,,,1,0.0,2.0,-2.0,64,1.14,1.11,0.03
Chet Holmgren,1.38,1,3.33,0.0,3.33,0,,,,28,1.38,1.46,-0.08
Chris Boucher,1.4,3,3.56,1.67,1.89,0,,,,44,1.26,1.39,-0.13
Chris Paul,1.71,4,3.08,1.5,1.58,1,0.33,1.0,-0.67,74,1.67,1.73,-0.06
Cody Martin,0.81,4,2.17,0.75,1.42,0,,,,46,0.72,0.78,-0.06
Cody Williams,0.7,2,1.67,0.5,1.17,0,,,,45,0.69,0.76,-0.07
Cole Anthony,1.15,5,2.4,0.8,1.6,5,0.0,0.6,-0.6,54,1.15,1.28,-0.12
Collin Sexton,1.75,2,3.5,2.0,1.5,1,0.33,4.0,-3.67,57,1.75,1.75,0.0
Corey Kispert,1.97,3,3.78,2.33,1.44,2,0.33,1.0,-0.67,53,1.99,1.98,0.01
D'Angelo Russell,1.95,2,3.5,0.5,3.0,0,,,,53,1.92,2.02,-0.09
DaQuan Jeffries,1.17,8,2.54,1.88,0.67,4,0.0,0.5,-0.5,32,0.91,1.0,-0.09
Dalano Banton,1.07,2,2.83,1.5,1.33,0,,,,62,0.99,1.1,-0.1
Dalton Knecht,1.64,6,4.44,2.5,1.94,0,,,,69,1.37,1.57,-0.2
Darius Garland,2.83,3,4.78,1.67,3.11,2,1.33,3.0,-1.67,67,2.81,2.88,-0.07
Davion Mitchell,1.14,6,2.44,1.5,0.94,1,0.0,2.0,-2.0,64,1.05,1.11,-0.06
De'Andre Hunter,2.45,4,4.17,2.25,1.92,4,0.67,3.0,-2.33,53,2.46,2.43,0.03
Dean Wade,1.36,1,3.0,2.0,1.0,1,0.0,1.0,-1.0,54,1.34,1.31,0.02
Deni Avdija,1.74,6,3.67,3.33,0.33,5,0.33,1.0,-0.67,58,1.67,1.71,-0.03
Dennis Schröder,1.69,4,4.25,3.25,1.0,0,,,,68,1.55,1.53,0.02
Derrick Jones Jr.,1.01,4,2.42,0.75,1.67,0,,,,70,0.93,0.99,-0.05
Desmond Bane,2.38,3,4.33,2.33,2.0,3,0.67,2.67,-2.0,60,2.31,2.38,-0.08
Devin Vassell,2.47,4,4.42,3.25,1.17,4,0.58,1.5,-0.92,53,2.46,2.49,-0.03
Dillon Brooks,2.48,3,4.78,2.67,2.11,2,0.67,8.0,-7.33,67,2.46,2.33,0.13
Donovan Mitchell,3.28,4,5.67,4.25,1.42,4,1.0,2.25,-1.25,60,3.31,3.3,0.01
Donte DiVincenzo,2.81,5,5.07,3.2,1.87,2,0.83,3.0,-2.17,52,2.67,2.79,-0.12
Dorian Finney-Smith,2.05,2,3.83,1.5,2.33,1,0.33,2.0,-1.67,57,1.94,2.07,-0.13
Draymond Green,1.18,0,,,,0,,,,65,1.13,1.2,-0.07
Duncan Robinson,2.57,2,4.5,3.0,1.5,0,,,,69,2.52,2.61,-0.09
Eric Gordon,1.44,7,3.1,2.43,0.67,0,,,,29,1.16,1.24,-0.08
Evan Mobley,1.2,5,2.87,0.8,2.07,0,,,,63,1.05,1.24,-0.19
Gabe Vincent,1.51,7,3.62,1.57,2.05,0,,,,62,1.34,1.56,-0.23
Garrison Mathews,1.81,4,4.08,2.25,1.83,2,0.0,2.5,-2.5,38,1.64,1.61,0.04
Gary Trent Jr.,2.43,7,4.52,2.43,2.1,4,0.25,1.5,-1.25,60,2.32,2.52,-0.2
Georges Niang,2.1,5,4.2,2.2,2.0,0,,,,71,1.92,2.11,-0.19
Gradey Dick,2.11,2,4.0,0.5,3.5,0,,,,49,2.07,2.16,-0.09
Grayson Allen,2.33,1,4.33,1.0,3.33,0,,,,60,2.28,2.42,-0.13
Guerschon Yabusele,1.49,1,3.33,0.0,3.33,0,,,,66,1.47,1.56,-0.09
Harrison Barnes,1.9,5,4.0,2.4,1.6,5,0.2,3.2,-3.0,69,1.87,1.8,0.07
Haywood Highsmith,1.2,3,2.67,0.0,2.67,4,0.0,1.5,-1.5,64,1.2,1.28,-0.08
Immanuel Quickley,2.58,1,4.0,0.0,4.0,1,1.0,3.0,-2.0,28,2.62,2.71,-0.1
Isaac Okoro,1.02,0,,,,0,,,,52,0.99,1.08,-0.08
Isaiah Collier,0.59,7,1.71,0.57,1.14,0,,,,61,0.46,0.62,-0.16
Isaiah Joe,2.59,4,4.92,1.25,3.67,0,,,,67,2.42,2.72,-0.3
Ja Morant,1.76,3,3.78,3.67,0.11,1,0.33,2.0,-1.67,43,1.6,1.7,-0.09
Ja'Kobe Walter,1.25,3,3.33,2.33,1.0,0,,,,46,1.09,1.24,-0.15
Jabari Smith Jr.,1.72,0,,,,4,0.25,1.75,-1.5,50,1.85,1.76,0.09
Jaden Hardy,1.33,3,3.22,0.33,2.89,0,,,,51,1.21,1.41,-0.2
Jaden Ivey,2.1,0,,,,2,0.67,2.5,-1.83,25,2.15,2.16,-0.01
Jaden McDaniels,1.22,3,2.44,1.0,1.44,3,0.0,0.67,-0.67,73,1.26,1.29,-0.03
