player,season_avg,hot_n,hot_regression,cold_n,cold_regression,normal_n,normal_regression
AJ Griffin,1.4,5,0.87,4,-0.5,60,-0.07
Aaron Gordon,0.88,5,1.33,0,,60,-0.11
Aaron Nesmith,1.58,4,2.75,1,-1.0,65,-0.17
Al Horford,2.3,3,2.78,1,-1.67,56,-0.15
Alec Burks,1.94,3,1.67,0,,45,-0.18
Aleksej Pokusevski,1.12,0,,0,,31,0.02
Alex Caruso,0.82,2,1.33,6,-1.0,56,0.05
Andrew Nembhard,1.23,2,1.83,2,-1.0,68,0.0
Anthony Lamb,1.18,4,1.25,0,,55,-0.04
Austin Reaves,1.34,4,1.67,0,,57,-0.16
Austin Rivers,0.83,5,0.6,0,,44,-0.07
Ayo Dosunmu,0.74,4,1.75,0,,73,-0.07
Bennedict Mathurin,1.28,7,1.9,0,,68,-0.11
Bobby Portis,1.36,4,0.67,2,-1.5,61,-0.05
Bogdan Bogdanović,2.7,2,0.83,3,-0.67,46,-0.06
Bones Hyland,2.09,5,0.4,0,,48,-0.08
Brook Lopez,1.74,3,1.78,3,-1.0,69,-0.01
Bruce Brown,1.14,3,1.0,0,,74,-0.01
Buddy Hield,3.6,2,1.67,3,-1.33,72,-0.05
Caleb Houstan,0.9,4,1.25,0,,44,-0.24
Caleb Martin,1.18,5,1.2,0,,63,-0.1
Cam Reddish,1.12,6,0.67,0,,31,-0.06
Cam Thomas,0.89,4,1.08,0,,50,-0.21
Cameron Johnson,2.45,2,4.17,1,-5.33,36,-0.06
Cameron Payne,1.42,5,1.0,0,,40,-0.11
Caris LeVert,1.72,6,1.39,2,-2.5,63,-0.1
Cedi Osman,1.51,3,0.78,0,,71,0.0
Chris Boucher,0.82,3,2.0,0,,70,-0.05
Chris Duarte,1.2,3,2.33,0,,40,-0.18
Chris Paul,1.66,2,2.33,1,-2.0,53,-0.23
Christian Wood,1.57,4,1.75,0,,60,-0.12
Coby White,1.73,2,2.83,2,-1.17,67,-0.06
Cole Anthony,1.25,2,2.17,0,,55,-0.09
Collin Sexton,1.0,1,2.33,0,,44,-0.02
