player,season_avg,hot_n,hot_regression,cold_n,cold_regression,normal_n,normal_regression,PLAYER_NAME,FG3A,MIN,GP,volume_tier,years_pro,experience_tier
AJ Green,2.12,2,2.33,0,,68,-0.09,AJ Green,5.0,22.7,73,High (5+ 3PA/g),3,Mid-career (3-7 yrs)
Aaron Gordon,1.47,5,1.53,0,,43,-0.18,Aaron Gordon,3.4,28.4,51,Medium (3-5 3PA/g),11,Veteran (8+ yrs)
Aaron Nesmith,1.87,4,1.42,4,-1.25,34,-0.08,Aaron Nesmith,4.3,24.9,45,Medium (3-5 3PA/g),5,Mid-career (3-7 yrs)
Aaron Wiggins,1.71,7,1.33,1,-6.0,65,-0.11,Aaron Wiggins,4.5,22.9,76,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Al Horford,1.9,2,2.67,4,-0.83,51,-0.03,Al Horford,5.2,27.6,60,High (5+ 3PA/g),18,Veteran (8+ yrs)
Alec Burks,1.8,2,1.67,1,-1.0,43,-0.06,Alec Burks,4.2,17.6,49,Medium (3-5 3PA/g),15,Veteran (8+ yrs)
Alex Caruso,1.11,1,2.67,1,-1.0,49,-0.08,Alex Caruso,3.1,19.3,54,Medium (3-5 3PA/g),8,Veteran (8+ yrs)
Alex Sarr,1.57,5,1.0,0,,59,-0.07,Alex Sarr,5.1,27.1,67,High (5+ 3PA/g),1,Young (0-2 yrs)
Amir Coffey,1.4,7,2.67,0,,62,-0.28,Amir Coffey,3.4,24.3,72,Medium (3-5 3PA/g),6,Mid-career (3-7 yrs)
Andrew Nembhard,0.78,3,1.0,5,-0.6,54,0.0,Andrew Nembhard,2.7,28.9,65,Low (2-3 3PA/g),3,Mid-career (3-7 yrs)
Andrew Wiggins,2.17,1,1.67,2,-1.0,54,0.1,Andrew Wiggins,5.8,30.7,60,High (5+ 3PA/g),11,Veteran (8+ yrs)
Anthony Black,0.79,2,1.0,0,,73,-0.06,Anthony Black,2.5,24.2,78,Low (2-3 3PA/g),2,Young (0-2 yrs)
Antonio Reeves,1.16,5,1.33,0,,36,-0.21,Antonio Reeves,2.9,15.0,44,Low (2-3 3PA/g),1,Young (0-2 yrs)
Ayo Dosunmu,1.35,5,0.67,4,-1.17,34,0.05,Ayo Dosunmu,4.1,30.3,46,Medium (3-5 3PA/g),4,Mid-career (3-7 yrs)
Ben Sheppard,1.08,4,2.0,0,,56,-0.14,Ben Sheppard,3.2,19.5,63,Medium (3-5 3PA/g),2,Young (0-2 yrs)
Bennedict Mathurin,1.36,5,2.53,2,-2.5,62,-0.12,Bennedict Mathurin,4.0,29.9,72,Medium (3-5 3PA/g),3,Mid-career (3-7 yrs)
Bobby Portis,1.33,1,3.0,0,,45,-0.09,Bobby Portis,3.6,25.4,49,Medium (3-5 3PA/g),10,Veteran (8+ yrs)
Bogdan Bogdanović,1.94,1,3.33,1,-2.67,49,0.0,Bogdan Bogdanović,5.4,25.0,54,High (5+ 3PA/g),8,Veteran (8+ yrs)
Brandin Podziemski,1.8,5,1.47,0,,56,-0.18,Brandin Podziemski,4.8,26.8,64,Medium (3-5 3PA/g),2,Young (0-2 yrs)
Brandon Boston,1.17,2,1.83,0,,37,-0.14,Brandon Boston,3.3,23.6,42,Medium (3-5 3PA/g),5,Mid-career (3-7 yrs)
Brice Sensabaugh,2.21,2,0.83,7,-1.33,59,-0.04,Brice Sensabaugh,5.2,20.2,71,High (5+ 3PA/g),2,Young (0-2 yrs)
Brook Lopez,1.74,5,2.4,2,-2.67,70,-0.07,Brook Lopez,4.7,31.8,80,Medium (3-5 3PA/g),17,Veteran (8+ yrs)
Bruce Brown,0.66,5,0.87,0,,33,-0.14,Bruce Brown,2.0,22.5,41,Low (2-3 3PA/g),7,Mid-career (3-7 yrs)
Bub Carrington,1.68,6,2.06,3,-1.67,70,-0.11,Bub Carrington,5.0,30.0,82,High (5+ 3PA/g),1,Young (0-2 yrs)
Buddy Hield,2.48,2,1.83,2,-2.17,75,0.03,Buddy Hield,6.7,22.7,82,High (5+ 3PA/g),9,Veteran (8+ yrs)
Caleb Martin,0.82,3,2.0,0,,39,-0.16,Caleb Martin,2.3,27.1,45,Low (2-3 3PA/g),6,Mid-career (3-7 yrs)
Cam Whitmore,1.27,1,1.0,0,,47,-0.17,Cam Whitmore,3.6,16.2,51,Medium (3-5 3PA/g),2,Young (0-2 yrs)
Cameron Johnson,2.79,2,4.17,0,,52,-0.11,Cameron Johnson,7.2,31.6,57,High (5+ 3PA/g),6,Mid-career (3-7 yrs)
Cameron Payne,1.29,7,0.29,1,-1.0,61,-0.02,Cameron Payne,3.6,15.1,72,Medium (3-5 3PA/g),10,Veteran (8+ yrs)
Caris LeVert,1.66,1,2.33,0,,60,-0.06,Caris LeVert,4.4,24.9,64,Medium (3-5 3PA/g),9,Veteran (8+ yrs)
